"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","1,433.19","1,425.59","1,434.42","1,410.21","","0.40%"
"03/01/2023","1,427.52","1,432.67","1,442.30","1,424.51","","-0.31%"
"02/28/2023","1,431.94","1,428.52","1,439.46","1,424.78","","0.42%"
"02/27/2023","1,425.93","1,414.53","1,434.99","1,413.99","","0.89%"
"02/24/2023","1,413.35","1,438.69","1,440.32","1,403.82","","-1.66%"
"02/23/2023","1,437.22","1,427.31","1,444.40","1,418.34","","0.71%"
"02/22/2023","1,427.09","1,415.24","1,431.90","1,411.63","","0.67%"
"02/21/2023","1,417.62","1,453.40","1,453.67","1,415.63","","-2.63%"
"02/20/2023","1,455.92","1,455.16","1,457.72","1,453.20","","0.10%"
"02/17/2023","1,454.48","1,465.95","1,466.59","1,444.25","","-1.13%"
"02/16/2023","1,471.14","1,483.13","1,488.34","1,459.24","","-0.44%"
"02/15/2023","1,477.61","1,459.02","1,478.39","1,451.61","","1.11%"
"02/14/2023","1,461.39","1,447.67","1,467.26","1,433.31","","1.36%"
"02/13/2023","1,441.80","1,428.75","1,447.50","1,428.20","","0.55%"
"02/10/2023","1,433.93","1,452.79","1,455.99","1,426.12","","-1.47%"
"02/09/2023","1,455.34","1,472.12","1,491.81","1,450.91","","-1.07%"
"02/08/2023","1,471.10","1,484.14","1,496.65","1,469.81","","-0.85%"
"02/07/2023","1,483.69","1,477.83","1,487.63","1,459.21","","0.54%"
"02/06/2023","1,475.73","1,494.54","1,495.61","1,469.88","","-1.55%"
"02/03/2023","1,498.98","1,515.22","1,518.44","1,484.05","","-1.05%"
"02/02/2023","1,514.87","1,479.57","1,525.35","1,478.24","","2.79%"
"02/01/2023","1,473.78","1,430.26","1,483.45","1,429.99","","3.01%"
"01/31/2023","1,430.70","1,402.76","1,431.38","1,398.49","","1.85%"
"01/30/2023","1,404.76","1,429.56","1,563.13","1,403.36","","-1.61%"
"01/27/2023","1,427.78","1,413.08","1,433.71","1,408.09","","1.25%"
"01/26/2023","1,410.20","1,391.88","1,414.09","1,391.40","","1.38%"
"01/25/2023","1,390.98","1,399.39","1,400.24","1,367.26","","-0.53%"
"01/24/2023","1,398.39","1,408.21","1,410.81","1,393.81","","-0.29%"
"01/23/2023","1,402.48","1,374.82","1,403.62","1,374.06","","2.39%"
"01/20/2023","1,369.75","1,348.44","1,371.70","1,348.02","","1.58%"
"01/19/2023","1,348.39","1,370.75","1,371.29","1,344.68","","-1.84%"
"01/18/2023","1,373.68","1,375.01","1,403.84","1,371.10","","-0.12%"
"01/17/2023","1,375.37","1,363.60","1,376.47","1,359.41","","0.99%"
"01/16/2023","1,361.93","1,367.50","1,368.31","1,357.41","","-0.36%"
"01/13/2023","1,366.90","1,356.46","1,367.50","1,345.35","","0.72%"
"01/12/2023","1,357.14","1,340.36","1,359.87","1,331.68","","1.43%"
"01/11/2023","1,337.96","1,317.00","1,338.58","1,316.01","","2.02%"
"01/10/2023","1,311.52","1,311.16","1,312.32","1,299.63","","0.01%"
"01/09/2023","1,311.45","1,287.67","1,325.52","1,287.00","","2.21%"
"01/06/2023","1,283.15","1,261.94","1,288.35","1,254.60","","1.78%"
"01/05/2023","1,260.69","1,281.45","1,285.18","1,259.64","","-1.64%"
"01/04/2023","1,281.65","1,264.18","1,287.73","1,263.15","","1.37%"
"01/03/2023","1,264.37","1,267.17","1,290.00","1,256.85","","0.03%"
"01/02/2023","1,263.93","1,256.27","1,265.53","1,255.58","","0.74%"
"12/30/2022","1,254.60","1,260.02","1,260.61","1,245.70","","-0.22%"
"12/29/2022","1,257.31","1,228.94","1,259.03","1,226.77","","2.35%"
"12/28/2022","1,228.49","1,236.78","1,241.35","1,225.51","","-0.90%"
"12/27/2022","1,239.67","1,251.21","1,254.22","1,235.94","","-0.75%"
"12/26/2022","1,249.07","1,250.07","1,251.38","1,248.90","","0.01%"
"12/23/2022","1,248.93","1,249.44","1,253.90","1,238.12","","-0.28%"
"12/22/2022","1,252.40","1,281.41","1,282.77","1,237.24","","-2.04%"
"12/21/2022","1,278.51","1,264.22","1,282.42","1,264.00","","0.89%"
"12/20/2022","1,267.25","1,266.02","1,274.66","1,257.00","","-0.10%"
"12/19/2022","1,268.49","1,286.66","1,291.22","1,265.50","","-1.47%"
"12/16/2022","1,287.47","1,302.73","1,303.50","1,282.51","","-1.41%"
"12/15/2022","1,305.92","1,346.18","1,347.36","1,303.00","","-3.22%"
"12/14/2022","1,349.38","1,354.19","1,362.67","1,339.96","","-0.27%"
"12/13/2022","1,353.03","1,325.55","1,384.23","1,324.53","","2.11%"
"12/12/2022","1,325.12","1,307.93","1,325.39","1,305.05","","1.16%"
"12/09/2022","1,309.98","1,315.91","1,320.77","1,309.22","","-0.03%"
"12/08/2022","1,310.37","1,289.66","1,316.88","1,287.92","","1.42%"
"12/07/2022","1,291.98","1,298.04","1,301.48","1,286.38","","-0.75%"
"12/06/2022","1,301.79","1,326.86","1,327.90","1,294.68","","-2.18%"
"12/05/2022","1,330.80","1,360.62","1,361.19","1,324.24","","-1.79%"
"12/02/2022","1,355.07","1,354.27","1,361.08","1,336.61","","-0.08%"
"12/01/2022","1,356.09","1,336.09","1,363.59","1,334.33","","2.32%"
"11/30/2022","1,325.36","1,293.72","1,331.22","1,291.53","","2.36%"
"11/29/2022","1,294.82","1,306.75","1,308.37","1,291.44","","-0.96%"
"11/28/2022","1,307.32","1,330.27","1,331.76","1,302.03","","-1.98%"
"11/25/2022","1,333.66","1,335.85","1,336.26","1,327.34","","-0.24%"
"11/24/2022","1,336.82","1,331.18","1,338.56","1,329.51","","0.95%"
"11/23/2022","1,324.23","1,309.58","1,329.23","1,306.91","","1.25%"
"11/22/2022","1,307.94","1,300.11","1,309.12","1,295.86","","0.78%"
"11/21/2022","1,297.84","1,313.53","1,314.91","1,294.90","","-1.56%"
"11/18/2022","1,318.36","1,316.60","1,334.43","1,312.55","","0.26%"
"11/17/2022","1,314.98","1,331.06","1,336.88","1,305.19","","-1.39%"
"11/16/2022","1,333.45","1,362.66","1,365.90","1,330.08","","-2.15%"
"11/15/2022","1,362.80","1,341.81","1,371.29","1,339.43","","1.51%"
"11/14/2022","1,342.56","1,362.60","1,364.41","1,336.63","","-1.62%"
"11/11/2022","1,364.62","1,324.31","1,370.90","1,321.61","","3.88%"
"11/10/2022","1,313.70","1,221.86","1,315.47","1,212.91","","7.30%"
"11/09/2022","1,224.30","1,249.66","1,252.56","1,222.03","","-2.03%"
"11/08/2022","1,249.65","1,235.27","1,263.61","1,231.65","","1.43%"
"11/07/2022","1,232.02","1,222.62","1,236.18","1,218.71","","1.02%"
"11/04/2022","1,219.57","1,205.54","1,230.90","1,204.18","","1.09%"
"11/03/2022","1,206.47","1,222.59","1,222.73","1,199.01","","-1.52%"
"11/02/2022","1,225.05","1,263.55","1,264.53","1,222.34","","-2.88%"
"11/01/2022","1,261.38","1,258.79","1,287.58","1,258.68","","0.30%"
"10/31/2022","1,257.59","1,265.11","1,266.45","1,248.08","","-0.33%"
"10/28/2022","1,261.73","1,255.11","1,263.10","1,238.53","","0.25%"
"10/27/2022","1,258.58","1,257.03","1,272.93","1,247.13","","0.25%"
"10/26/2022","1,255.38","1,247.21","1,275.94","1,242.51","","0.67%"
"10/25/2022","1,247.07","1,216.52","1,248.69","1,212.00","","2.64%"
"10/24/2022","1,215.05","1,208.48","1,216.47","1,196.08","","0.99%"
"10/21/2022","1,203.14","1,185.26","1,209.43","1,174.68","","1.13%"
"10/20/2022","1,189.71","1,186.00","1,207.40","1,182.86","","-0.05%"
"10/19/2022","1,190.35","1,207.35","1,208.25","1,184.78","","-1.42%"
"10/18/2022","1,207.53","1,191.96","1,226.07","1,189.35","","1.63%"
"10/17/2022","1,188.15","1,152.90","1,194.81","1,150.92","","2.76%"
"10/14/2022","1,156.23","1,181.05","1,194.35","1,154.02","","-1.50%"
"10/13/2022","1,173.89","1,157.53","1,180.17","1,120.63","","1.26%"
"10/12/2022","1,159.32","1,160.35","1,164.08","1,150.76","","-0.16%"
"10/11/2022","1,161.23","1,173.83","1,177.15","1,150.37","","-1.66%"
"10/10/2022","1,180.87","1,204.23","1,205.85","1,173.23","","-2.12%"
"10/07/2022","1,206.40","1,249.27","1,249.92","1,201.17","","-3.70%"
"10/06/2022","1,252.76","1,259.71","1,267.26","1,247.57","","-0.16%"
"10/05/2022","1,254.71","1,265.96","1,266.90","1,233.59","","-0.67%"
"10/04/2022","1,263.20","1,210.93","1,265.46","1,209.83","","4.64%"
"10/03/2022","1,207.23","1,179.23","1,211.99","1,173.65","","2.40%"
"09/30/2022","1,178.99","1,182.60","1,202.79","1,178.43","","-0.55%"
"09/29/2022","1,185.56","1,209.12","1,209.85","1,172.53","","-1.67%"
"09/28/2022","1,205.67","1,180.70","1,213.04","1,175.75","","1.47%"
"09/27/2022","1,188.26","1,181.92","1,202.78","1,178.37","","0.61%"
"09/26/2022","1,181.06","1,185.37","1,207.07","1,178.75","","-1.28%"
"09/23/2022","1,196.32","1,221.19","1,221.84","1,184.52","","-2.13%"
"09/22/2022","1,222.30","1,250.33","1,256.88","1,219.44","","-2.56%"
"09/21/2022","1,254.36","1,260.58","1,284.37","1,253.72","","-0.76%"
"09/20/2022","1,263.91","1,280.64","1,283.14","1,259.57","","-1.15%"
"09/19/2022","1,278.67","1,274.89","1,280.52","1,264.11","","0.15%"
"09/16/2022","1,276.76","1,293.35","1,294.07","1,267.61","","-1.54%"
"09/15/2022","1,296.71","1,307.21","1,317.01","1,292.58","","-1.05%"
"09/14/2022","1,310.46","1,309.03","1,314.54","1,298.49","","-0.44%"
"09/13/2022","1,316.19","1,368.91","1,373.24","1,312.53","","-3.84%"
"09/12/2022","1,368.72","1,350.32","1,369.63","1,349.59","","1.46%"
"09/09/2022","1,348.96","1,321.80","1,350.11","1,320.03","","2.49%"
"09/08/2022","1,316.19","1,303.30","1,316.95","1,287.40","","1.41%"
"09/07/2022","1,297.86","1,279.29","1,302.01","1,273.75","","0.95%"
"09/06/2022","1,285.68","1,294.92","1,297.10","1,280.51","","-0.55%"
"09/05/2022","1,292.74","1,297.15","1,297.44","1,289.30","","-0.51%"
"09/02/2022","1,299.38","1,302.30","1,320.84","1,293.12","","-0.36%"
"09/01/2022","1,304.05","1,337.03","1,338.03","1,286.70","","-3.01%"
"08/31/2022","1,344.50","1,353.78","1,361.76","1,341.49","","-0.59%"
"08/30/2022","1,352.46","1,361.38","1,374.70","1,346.50","","-0.36%"
"08/29/2022","1,357.32","1,368.84","1,370.69","1,356.00","","-1.64%"
"08/26/2022","1,380.01","1,421.33","1,424.10","1,377.88","","-2.80%"
"08/25/2022","1,419.81","1,398.27","1,420.24","1,395.54","","1.58%"
"08/24/2022","1,397.66","1,374.93","1,403.93","1,372.98","","1.55%"
"08/23/2022","1,376.33","1,382.92","1,394.12","1,374.69","","-0.76%"
"08/22/2022","1,386.88","1,426.39","1,426.92","1,383.79","","-2.94%"
"08/19/2022","1,428.88","1,466.87","1,468.15","1,427.23","","-2.93%"
"08/18/2022","1,472.01","1,470.43","1,473.78","1,462.74","","-0.06%"
"08/17/2022","1,472.84","1,502.14","1,503.04","1,467.15","","-1.83%"
"08/16/2022","1,500.23","1,509.62","1,510.77","1,485.64","","-0.75%"
"08/15/2022","1,511.60","1,506.78","1,512.96","1,497.30","","0.35%"
"08/12/2022","1,506.40","1,491.31","1,507.26","1,486.77","","1.20%"
"08/11/2022","1,488.48","1,492.89","1,515.64","1,484.44","","-0.40%"
"08/10/2022","1,494.49","1,441.30","1,494.50","1,437.30","","3.55%"
"08/09/2022","1,443.29","1,473.08","1,473.70","1,437.02","","-2.08%"
"08/08/2022","1,473.98","1,462.08","1,486.21","1,461.67","","0.74%"
"08/05/2022","1,463.09","1,471.87","1,472.76","1,447.87","","-0.51%"
"08/04/2022","1,470.54","1,461.62","1,472.48","1,457.44","","0.88%"
"08/03/2022","1,457.71","1,430.73","1,462.24","1,428.79","","1.94%"
"08/02/2022","1,429.97","1,429.75","1,438.87","1,415.15","","-0.17%"
"08/01/2022","1,432.40","1,425.59","1,440.19","1,411.79","","0.86%"
"07/29/2022","1,420.23","1,405.21","1,423.04","1,399.23","","1.21%"
"07/28/2022","1,403.25","1,388.40","1,405.35","1,373.47","","1.48%"
"07/27/2022","1,382.78","1,344.84","1,390.42","1,343.92","","2.70%"
"07/26/2022","1,346.49","1,371.86","1,372.03","1,343.90","","-1.71%"
"07/25/2022","1,369.91","1,382.13","1,382.45","1,362.88","","-1.13%"
"07/22/2022","1,385.51","1,412.16","1,418.63","1,377.36","","-1.68%"
"07/21/2022","1,409.20","1,391.04","1,410.25","1,386.31","","1.52%"
"07/20/2022","1,388.06","1,353.55","1,389.20","1,352.86","","3.04%"
"07/19/2022","1,347.11","1,311.58","1,347.12","1,309.79","","2.83%"
"07/18/2022","1,310.08","1,306.42","1,331.78","1,305.79","","0.48%"
"07/15/2022","1,303.81","1,276.46","1,304.31","1,275.49","","2.33%"
"07/14/2022","1,274.10","1,291.55","1,292.43","1,257.23","","-1.42%"
"07/13/2022","1,292.48","1,297.34","1,302.11","1,270.71","","-0.40%"
"07/12/2022","1,297.64","1,313.86","1,322.61","1,292.38","","-1.81%"
"07/11/2022","1,321.61","1,355.68","1,355.78","1,318.97","","-2.59%"
"07/08/2022","1,356.69","1,357.09","1,364.38","1,338.42","","0.18%"
"07/07/2022","1,354.19","1,320.00","1,356.09","1,318.41","","2.82%"
"07/06/2022","1,317.05","1,317.97","1,330.86","1,311.01","","0.08%"
"07/05/2022","1,315.96","1,304.31","1,316.96","1,277.76","","0.99%"
"07/04/2022","1,303.05","1,304.45","1,306.97","1,302.63","","0.09%"
"07/01/2022","1,301.88","1,293.20","1,307.63","1,287.11","","0.51%"
"06/30/2022","1,295.26","1,316.39","1,317.83","1,276.98","","-1.87%"
"06/29/2022","1,319.95","1,336.87","1,338.19","1,310.12","","-1.56%"
"06/28/2022","1,340.81","1,369.21","1,378.72","1,340.43","","-2.23%"
"06/27/2022","1,371.37","1,376.84","1,386.03","1,363.16","","-0.05%"
"06/24/2022","1,372.08","1,339.30","1,372.21","1,338.69","","2.84%"
"06/23/2022","1,334.24","1,310.25","1,336.43","1,304.32","","1.75%"
"06/22/2022","1,311.34","1,308.96","1,322.10","1,288.77","","-0.04%"
"06/21/2022","1,311.91","1,298.29","1,326.80","1,295.50","","1.55%"
"06/20/2022","1,291.83","1,288.15","1,291.89","1,286.90","","0.12%"
"06/17/2022","1,290.24","1,272.83","1,299.25","1,272.24","","0.77%"
"06/16/2022","1,280.32","1,330.84","1,331.59","1,276.41","","-3.47%"
"06/15/2022","1,326.35","1,297.76","1,340.41","1,296.88","","1.87%"
"06/14/2022","1,301.96","1,311.33","1,315.15","1,292.22","","-1.09%"
"06/13/2022","1,316.31","1,378.92","1,380.30","1,311.97","","-5.38%"
"06/10/2022","1,391.13","1,435.36","1,436.27","1,387.95","","-3.39%"
"06/09/2022","1,439.88","1,478.53","1,479.12","1,438.22","","-2.53%"
"06/08/2022","1,477.28","1,476.71","1,486.49","1,469.64","","0.21%"
"06/07/2022","1,474.23","1,463.28","1,475.27","1,444.13","","0.46%"
"06/06/2022","1,467.50","1,461.46","1,483.71","1,460.82","","0.47%"
"06/03/2022","1,460.61","1,487.33","1,489.10","1,454.99","","-1.49%"
"06/02/2022","1,482.65","1,438.05","1,484.45","1,434.69","","2.87%"
"06/01/2022","1,441.35","1,453.35","1,469.69","1,432.05","","-0.82%"
"05/31/2022","1,453.24","1,471.02","1,471.74","1,444.33","","-1.28%"
"05/30/2022","1,472.04","1,467.88","1,476.21","1,467.13","","0.97%"
"05/27/2022","1,457.87","1,415.75","1,458.50","1,414.16","","3.34%"
"05/26/2022","1,410.77","1,386.63","1,417.03","1,384.63","","1.77%"
"05/25/2022","1,386.28","1,371.46","1,393.17","1,362.88","","0.96%"
"05/24/2022","1,373.06","1,409.11","1,409.43","1,366.91","","-2.80%"
"05/23/2022","1,412.58","1,401.92","1,415.89","1,395.14","","1.07%"
"05/20/2022","1,397.62","1,396.07","1,417.51","1,373.50","","0.43%"
"05/19/2022","1,391.57","1,368.45","1,403.86","1,360.88","","1.28%"
"05/18/2022","1,374.05","1,403.90","1,406.33","1,368.83","","-1.97%"
"05/17/2022","1,401.61","1,371.86","1,405.95","1,371.27","","2.18%"
"05/16/2022","1,371.75","1,393.18","1,393.85","1,371.25","","-0.97%"
"05/13/2022","1,385.24","1,329.84","1,388.46","1,329.71","","5.00%"
"05/12/2022","1,319.29","1,303.12","1,330.06","1,280.45","","0.78%"
"05/11/2022","1,309.09","1,340.39","1,352.11","1,306.96","","-2.10%"
"05/10/2022","1,337.17","1,327.21","1,358.88","1,312.96","","0.49%"
"05/09/2022","1,330.64","1,390.28","1,391.21","1,328.28","","-4.70%"
"05/06/2022","1,396.25","1,423.11","1,423.69","1,372.32","","-2.02%"
"05/05/2022","1,425.10","1,490.19","1,495.76","1,414.71","","-4.05%"
"05/04/2022","1,485.19","1,454.44","1,490.81","1,437.17","","2.03%"
"05/03/2022","1,455.62","1,456.79","1,463.90","1,445.92","","-0.03%"
"05/02/2022","1,456.06","1,443.60","1,456.07","1,427.35","","0.52%"
"04/29/2022","1,448.51","1,467.76","1,488.80","1,446.49","","-1.15%"
"04/28/2022","1,465.42","1,435.64","1,470.84","1,430.11","","2.11%"
"04/27/2022","1,435.14","1,445.04","1,456.71","1,433.12","","-1.09%"
"04/26/2022","1,450.97","1,498.14","1,499.23","1,450.01","","-2.80%"
"04/25/2022","1,492.74","1,483.09","1,493.10","1,467.70","","0.28%"
"04/22/2022","1,488.63","1,522.63","1,524.31","1,487.71","","-2.59%"
"04/21/2022","1,528.22","1,548.83","1,579.55","1,525.27","","-1.29%"
"04/20/2022","1,548.23","1,554.56","1,565.91","1,547.55","","-0.09%"
"04/19/2022","1,549.57","1,525.36","1,552.55","1,519.60","","1.63%"
"04/18/2022","1,524.70","1,533.62","1,534.95","1,513.34","","-0.98%"
"04/15/2022","1,539.75","1,538.67","1,539.75","1,537.08","","-0.21%"
"04/14/2022","1,542.99","1,572.04","1,576.51","1,542.98","","-1.53%"
"04/13/2022","1,567.03","1,552.07","1,572.46","1,545.51","","1.25%"
"04/12/2022","1,547.73","1,549.24","1,581.20","1,542.61","","-0.37%"
"04/11/2022","1,553.43","1,570.32","1,571.26","1,542.32","","-1.60%"
"04/08/2022","1,578.71","1,596.71","1,602.24","1,577.25","","-1.05%"
"04/07/2022","1,595.53","1,598.35","1,605.06","1,578.26","","-0.66%"
"04/06/2022","1,606.11","1,642.38","1,642.92","1,593.50","","-2.71%"
"04/05/2022","1,650.91","1,690.48","1,692.84","1,645.04","","-2.27%"
"04/04/2022","1,689.30","1,659.44","1,689.48","1,658.55","","2.00%"
"04/01/2022","1,656.18","1,656.07","1,663.15","1,643.89","","-0.31%"
"03/31/2022","1,661.35","1,687.35","1,691.55","1,658.70","","-1.77%"
"03/30/2022","1,691.21","1,715.57","1,717.40","1,686.05","","-1.26%"
"03/29/2022","1,712.87","1,663.58","1,715.93","1,662.77","","3.25%"
"03/28/2022","1,659.01","1,644.10","1,659.47","1,635.37","","0.51%"
"03/25/2022","1,650.60","1,672.71","1,673.54","1,640.47","","-1.31%"
"03/24/2022","1,672.48","1,652.50","1,672.50","1,645.04","","1.14%"
"03/23/2022","1,653.61","1,679.76","1,682.75","1,648.77","","-1.18%"
"03/22/2022","1,673.44","1,649.36","1,677.02","1,644.82","","1.32%"
"03/21/2022","1,651.68","1,663.14","1,666.84","1,637.77","","-0.72%"
"03/18/2022","1,663.65","1,634.02","1,665.02","1,625.91","","1.90%"
"03/17/2022","1,632.66","1,601.16","1,632.71","1,596.71","","2.74%"
"03/16/2022","1,589.18","1,529.61","1,591.12","1,528.35","","4.08%"
"03/15/2022","1,526.89","1,506.03","1,527.22","1,498.56","","1.40%"
"03/14/2022","1,505.77","1,529.09","1,537.17","1,501.54","","-1.68%"
"03/11/2022","1,531.47","1,558.57","1,575.54","1,528.99","","-2.40%"
"03/10/2022","1,569.17","1,590.71","1,594.45","1,555.69","","-0.57%"
"03/09/2022","1,578.21","1,534.77","1,583.03","1,532.04","","2.97%"
"03/08/2022","1,532.67","1,542.48","1,561.05","1,524.52","","-0.89%"
"03/07/2022","1,546.40","1,572.37","1,583.28","1,546.15","","-2.53%"
"03/04/2022","1,586.58","1,622.35","1,623.84","1,581.60","","-2.77%"
"03/03/2022","1,631.82","1,666.08","1,670.49","1,626.94","","-1.74%"
"03/02/2022","1,660.68","1,636.02","1,665.73","1,631.31","","1.13%"
"03/01/2022","1,642.18","1,683.14","1,683.86","1,633.77","","-2.04%"
"02/28/2022","1,676.35","1,645.85","1,682.00","1,643.08","","1.64%"
"02/25/2022","1,649.31","1,626.53","1,649.73","1,615.36","","2.24%"
"02/24/2022","1,613.13","1,578.03","1,617.59","1,530.12","","1.64%"
"02/23/2022","1,587.16","1,610.79","1,627.55","1,585.75","","-1.39%"
"02/22/2022","1,609.46","1,622.39","1,630.72","1,601.24","","-1.16%"
"02/21/2022","1,628.37","1,632.36","1,637.09","1,625.79","","-0.54%"
"02/18/2022","1,637.25","1,655.24","1,658.83","1,631.70","","-1.28%"
"02/17/2022","1,658.49","1,702.55","1,706.80","1,656.69","","-2.86%"
"02/16/2022","1,707.28","1,712.70","1,715.75","1,691.22","","-0.02%"
